# GRE 词汇词典
# GRE 研究生入学考试词汇
# 共 7479 条
# 格式: word|translation

debility|debility n. 衰弱, 体弱；[医] 虚弱
crabbed|crabbed a. 潦草的, 难懂的, 易怒的, 倔强的
careworn|careworn a. 忧心忡忡的
recantation|recantation n. 放弃信仰, 改变论调
protract|protract vt. 延长, 拖延, 伸出, 绘制；[法] 延迟, 拖延, 延长
pedant|pedant n. 自夸学问的人, 空谈家, 书呆子
perspicacious|perspicacious a. 聪颖的, 聪明的, 敏锐的, 有洞察力的
dullard|dullard n. 蠢人, 笨蛋
striate|striate a. 有条纹的；vt. 加条纹
meretricious|meretricious a. 华丽而庸俗的, 俗气的, 娼妓的
wastrel|wastrel n. 浪费者, 饭桶, 浪子, 废品, 流浪者
reactant|reactant n. 反应物；[化] 反应物
variegation|variegation n. 斑驳, 彩色, 杂色, 多种多样
purloin|purloin v. 偷窃, 盗取
insubordinate|insubordinate a. 不顺从的, 地位不低的
gabble|gabble vi. 七嘴八嘴地说, 喋喋不休地说；vt. 急促地说；n. 急促讲出而叫人听不清的话, 废话
gosling|gosling n. 小鹅, 年轻无知的人
matriarchy|matriarchy n. 女家长制, 女族长制
verdigris|verdigris n. 铜绿；[化] 铜绿; 碱式碳酸铜
cytology|cytology n. 细胞学；[医] 细胞学
irredeemable|irredeemable a. 不能赎回的；[经] 不能偿还的, 不能兑现的
gluttonous|gluttonous a. 暴食的, 贪吃的, 贪心的
irremediable|irremediable a. 不能治疗的, 不能改正的, 不能挽回的
disinter|disinter vt. 掘出, 发掘, 使显露
unreserved|unreserved a. 不隐瞒的, 坦白的
reproof|reproof n. 谴责, 非难；[法] 谴责, 申诉, 责备
lucre|lucre n. 收益, 钱财
antediluvian|antediluvian a. 大洪水前的, 陈旧的, 过时的；n. 大洪水以前的人, 老迈的人
cosset|cosset n. 供玩赏的小动物, 爱畜；vt. 宠爱, 珍爱, 溺爱
undirected|undirected a. 未受指导的, 无姓名和地址的
expiate|expiate vt. 补偿, 赎；vi. 抵偿, 赎罪
seine|seine n. 曳网, 拖地大网；vt. 用曳网围捕；vi. 用曳网捕鱼
forswear|forswear vt. 发誓抛弃, 发誓否定；vi. 发伪誓, 作伪证
scabrous|scabrous a. 粗糙的, 多痂的, 难解决的, 猥亵的
liberality|liberality n. 慷慨, 宽宏大量, 心胸宽大, 胸怀广阔, 公正, 丰富, 宽阔, 丰满
epigram|epigram n. 警句, 讽刺短诗
heliotrope|heliotrope n. 天芥菜属植物, 淡紫色；[化] 向阳植物; 鸡血石
perigee|perigee n. 近地点
lingual|lingual a. 舌的, 舌音的, 语言的；n. 舌音
verbose|verbose a. 用字多的, 冗长的, 累赘的；[计] 详述
mawkish|mawkish a. 淡而无味的, 令人作呕的, 感伤的
asperity|asperity n. 粗暴, 严酷, 粗糙
legerdemain|legerdemain n. 戏法, 骗术, 诡辩
prig|prig n. 一本正经的人, 纨绔子弟
temporize|temporize vi. 随潮流, 拖延, 妥协, 调停
declamation|declamation n. 慷慨激昂的演说, 雄辩, 慷慨激昂的演说词
gastritis|gastritis n. 胃炎；[医] 胃炎
defoliate|defoliate v. (使)落叶
peregrination|peregrination n. 徒步旅行, 旅程, 人生历程, 漫谈, 泛论
impermanent|impermanent a. 暂时的, 非永久的
presentiment|presentiment n. 预感
extirpation|extirpation n. 消灭, 根除, 毁灭；[医] 摘除
